escenario,tipo,semilla_generacion,estrato_volumen,dispersion,mezcla_plazos,pedidos,con_bloqueos,bloqueos,dias
esc-c01,calibracion,20260923001,bajo,concentrada,urgente,435,false,0,30
esc-c02,calibracion,20260923002,medio,concentrada,urgente,621,false,0,30
esc-c03,calibracion,20260923003,alto,concentrada,equilibrada,926,false,0,30
esc-c04,calibracion,20260923004,bajo,concentrada,equilibrada,440,false,0,30
esc-c05,calibracion,20260923005,medio,uniforme,holgada,626,false,0,30
esc-c06,calibracion,20260923006,alto,uniforme,holgada,926,false,0,30
esc-c07,calibracion,20260923007,bajo,uniforme,urgente,422,false,0,30
esc-c08,calibracion,20260923008,medio,mixta,urgente,594,false,0,30
esc-c09,calibracion,20260923009,alto,mixta,equilibrada,879,false,0,30
esc-c10,calibracion,20260923010,bajo,mixta,equilibrada,452,false,0,30
esc-01,comparacion,20260923101,bajo,concentrada,urgente,463,false,0,30
esc-02,comparacion,20260923102,medio,concentrada,urgente,610,true,300,30
esc-03,comparacion,20260923103,alto,concentrada,equilibrada,875,false,0,30
esc-04,comparacion,20260923104,bajo,concentrada,equilibrada,432,true,300,30
esc-05,comparacion,20260923105,medio,concentrada,holgada,602,false,0,30
esc-06,comparacion,20260923106,alto,concentrada,holgada,913,true,300,30
esc-07,comparacion,20260923107,bajo,concentrada,urgente,437,false,0,30
esc-08,comparacion,20260923108,medio,concentrada,urgente,658,true,300,30
esc-09,comparacion,20260923109,alto,concentrada,equilibrada,912,false,0,30
esc-10,comparacion,20260923110,bajo,concentrada,equilibrada,467,true,300,30
esc-11,comparacion,20260923111,medio,uniforme,holgada,624,false,0,30
esc-12,comparacion,20260923112,alto,uniforme,holgada,878,true,300,30
esc-13,comparacion,20260923113,bajo,uniforme,urgente,451,false,0,30
esc-14,comparacion,20260923114,medio,uniforme,urgente,641,true,300,30
esc-15,comparacion,20260923115,alto,uniforme,equilibrada,960,false,0,30
esc-16,comparacion,20260923116,bajo,uniforme,equilibrada,455,true,300,30
esc-17,comparacion,20260923117,medio,uniforme,holgada,617,false,0,30
esc-18,comparacion,20260923118,alto,uniforme,holgada,897,true,300,30
esc-19,comparacion,20260923119,bajo,uniforme,urgente,438,false,0,30
esc-20,comparacion,20260923120,medio,uniforme,urgente,630,true,300,30
esc-21,comparacion,20260923121,alto,mixta,equilibrada,889,false,0,30
esc-22,comparacion,20260923122,bajo,mixta,equilibrada,459,true,300,30
esc-23,comparacion,20260923123,medio,mixta,holgada,655,false,0,30
esc-24,comparacion,20260923124,alto,mixta,holgada,889,true,300,30
esc-25,comparacion,20260923125,bajo,mixta,urgente,428,false,0,30
esc-26,comparacion,20260923126,medio,mixta,urgente,604,true,300,30
esc-27,comparacion,20260923127,alto,mixta,equilibrada,859,false,0,30
esc-28,comparacion,20260923128,bajo,mixta,equilibrada,445,true,300,30
esc-29,comparacion,20260923129,medio,mixta,holgada,627,false,0,30
esc-30,comparacion,20260923130,alto,mixta,holgada,896,true,300,30
